file_name,Pitch (Hz),Cutoff freq (MIDI),Cutoff freq (CV),Resonance (MIDI),Resonance (CV),Input delay (ms),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Roll-off (Hz),RMS Energy,Spectral Flatness,MFCCs_1,MFCCs_2,MFCCs_3,MFCCs_4,MFCCs_5,MFCCs_6,MFCCs_7,MFCCs_8,MFCCs_9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,Spectral Contrast (dB)_1,Spectral Contrast (dB)_2,Spectral Contrast (dB)_3,Spectral Contrast (dB)_4,Spectral Contrast (dB)_5,Spectral Contrast (dB)_6,Spectral Contrast (dB)_7
B4_r111_c031.wav,142.58781,31,2.4409,111,8.7402,44.00000000000004,207.94306675824956,860.7000218248246,203.61328125,0.46818593,9.205397e-06,-451.13882,87.36075,78.90122,68.462975,57.203495,45.37147,33.954647,24.09632,16.295448,10.587722,6.7942376,4.604656,3.5947902,31.237089247118217,20.10381928619945,19.022835634872894,14.212057554697267,13.13529782774377,13.051698340282892,14.9445299022384
B4_r111_c047.wav,309.19748,47,3.7008,111,8.7402,44.00000000000004,372.9562012573781,804.6100877488967,366.8212890625,0.50553066,9.382738e-06,-394.44116,132.96776,97.50281,58.099575,27.472097,9.414469,0.6466957,-5.348206,-12.953174,-21.216349,-26.258766,-25.872534,-21.477373,15.265453459787528,22.615043294166615,19.642659360993807,19.26705227242058,17.621720512349146,12.885045573141872,14.978029316456611
B4_r111_c063.wav,677.38336,63,4.9606,111,8.7402,44.00000000000004,734.8603620778241,766.6918569469386,739.013671875,0.52933216,9.365446e-06,-342.0001,176.51294,64.77224,-16.392935,-39.055782,-34.985752,-31.255472,-27.401342,-20.438244,-14.567165,-7.534075,5.966915,17.782732,12.158433211451312,13.891398171405514,33.25208913869877,23.934885017662207,22.928218450930256,21.071763917564045,15.099666518659362
B4_r111_c079.wav,1473.1317,79,6.2205,111,8.7402,44.00000000000004,1523.526890011168,819.8344516065666,1532.2265625,0.5481515,9.465267e-06,-399.36685,67.341866,-41.79289,-51.73833,-16.05498,10.034624,20.712088,4.8670135,-20.429087,-35.295544,-32.84004,-2.64592,21.736261,19.25678720878729,8.86137161576349,36.92908656076697,48.90706759604109,37.14091153010954,29.934527359124456,21.770026241548308
B4_r111_c095.wav,3221.8093,95,7.4803,111,8.7402,44.00000000000004,3215.4587938212676,1230.4213952883308,3284.0576171875,0.5469463,1.1265448e-05,-320.1513,76.06277,-100.82406,19.673647,30.244196,-24.794065,-25.585497,-2.7466516,8.1078005,-13.505155,-33.064213,5.0268445,9.541035,15.263163376977317,15.034392814605342,30.876212156114395,26.797330107532783,25.42409831401672,46.77843958535228,34.995893845643394
B4_r111_c111.wav,7011.5054,111,8.7402,111,8.7402,44.00000000000004,6810.7077714177185,2256.162431383971,7081.787109375,0.53024906,1.7814416e-05,-309.39816,13.651848,-59.48995,56.353382,-46.836506,3.9195812,2.9053326,-21.705713,-10.389527,9.376038,-36.434673,5.5849814,-9.156584,13.395553491923955,15.691183628416601,32.31621584443604,30.146043110244495,28.26411858340782,24.70562541401344,48.920569468238945
B4_r111_c127.wav,10705.31,127,10.0,111,8.7402,44.00000000000004,10231.43837640027,3464.8711289615117,10774.7802734375,0.5047584,2.8728233e-05,-326.50058,-31.988235,-10.574932,22.081085,-34.460285,19.465813,-25.718323,-4.652331,0.8040931,-30.733704,15.403701,-39.045845,6.9769063,17.013602876466482,14.076983883183678,34.39420264795123,32.58123888445148,30.361335467203123,26.511806953648204,45.62113644084985
B4_r127_c015.wav,0.45407555,15,1.1811,127,10.0,44.00000000000004,130.02952145744814,925.2850775248106,101.48069371727749,0.43058914,3.6494282e-07,-470.70648,55.02076,51.4306,48.766697,46.613956,44.02896,41.20607,38.35772,35.425716,32.316875,28.940998,25.502102,22.412115,24.421386670688673,14.501540448893728,13.34114319233537,11.697687101511073,13.283605876804053,12.951597382161252,16.382162300166144
B4_r127_c031.wav,144.65985,31,2.4409,127,10.0,44.00000000000004,213.09683943279856,868.5726736058442,209.716796875,0.48727977,1.0205392e-05,-437.96664,95.84971,84.28239,70.395905,55.896393,41.44604,28.73385,19.063116,12.437272,8.338705,6.0654283,4.852621,4.2030644,29.59930726157761,22.171669173899414,19.92933859802117,18.42010536473698,13.644896240451947,13.025579281041892,16.39647888219045
B4_r127_c047.wav,314.52316,47,3.7008,127,10.0,44.00000000000004,382.6460950898768,824.2923972248503,369.0185546875,0.51793206,9.708656e-06,-386.30652,136.04343,93.24018,49.217327,20.07221,7.3798027,2.9417992,-2.2827463,-11.114006,-20.153372,-25.162607,-25.07637,-22.068558,18.055886542905416,23.027356938805394,22.299792028583635,24.487782357050964,23.57114002882508,13.019038461769554,16.337274268430956
